armwaru1,Chinese Name,机甲战士 / 机甲装备: 攻关版 (美版 940920)
armwrest,Chinese Name,超越巅峰 
ashnojoe,Chinese Name,小拳王 (日版)
ashura,Chinese Name,阿修罗风暴 (世界版)
ashuraj,Chinese Name,阿修罗风暴 (日版)
ashurau,Chinese Name,阿修罗风暴 (美版)
asideral,Chinese Name,恒星战机 (西班牙版 盗版自 UniWar S)
aso,Chinese Name,组合战机 ASO 
assault,Chinese Name,重装坦克 (修正版 B)
assaultj,Chinese Name,重装坦克 (日版)
assaultp,Chinese Name,重装坦克 加强版 (日版)
astdelux,Chinese Name,爆破彗星 豪华版 (修正版 3)
astdelux1,Chinese Name,爆破彗星 豪华版 (修正版 1)
astdelux2,Chinese Name,爆破彗星 豪华版 (修正版 2)
asterix,Chinese Name,美丽新世界 (版本 EAD)
asterixaad,Chinese Name,美丽新世界 (版本 AAD)
asterixeaa,Chinese Name,美丽新世界 (版本 EAA)
asterixeac,Chinese Name,美丽新世界 (版本 EAC)
asterixj,Chinese Name,美丽新世界 (版本 JAD)
asterock,Chinese Name,爆破彗星 Asterock (Sidam 盗版自 Asteroids)
asterockv,Chinese Name,爆破彗星 Asterock (Videotron 盗版自 Asteroids)
asteroid,Chinese Name,爆破彗星 (修正版 4)
asteroid1,Chinese Name,爆破彗星 (修正版 1)
asteroid2,Chinese Name,爆破彗星 (修正版 2)
asteroidb1,Chinese Name,爆破彗星 (盗版 Lunar Lander 硬件, 第 1 套)
asteroidb2,Chinese Name,爆破彗星 (盗版 Lunar Lander 硬件, 第 2 套)
astorm,Chinese Name,异形风暴 (世界版, 2 人游戏) (FD1094 317-0154)
astorm3,Chinese Name,异形风暴 (世界版, 3 人游戏) (FD1094 317-0148)
astorm3d,Chinese Name,异形风暴 (世界版, 3 人游戏) (盗版自 FD1094 317-0148 set)
astormj,Chinese Name,异形风暴 (日版, 2 人游戏) (FD1094 317-0146)
astormjd,Chinese Name,异形风暴 (日版, 2 人游戏) (盗版自 FD1094 317-0146 set)
astormu,Chinese Name,异形风暴 (美版, 3 人游戏) (FD1094 317-0147)
astormud,Chinese Name,异形风暴 (美版, 3 人游戏) (盗版自 FD1094 317-0147 set)
astrians,Chinese Name,小蜜蜂 (clone of Swarm)
astrofl,Chinese Name,变形金刚 (日版)
astyanax,Chinese Name,战王之王 
astyanaxa,Long Name,The Astyanax (mask ROM version)
asuka,Chinese Name,飞鸟 & 飞鸟 (世界版)
asukaj,Chinese Name,飞鸟 & 飞鸟 (日版)
asukaja,Long Name,Asuka & Asuka (Japan)
asurabld,Chinese Name,血剑王朝 - 魔刃降临 (日版)
asurabus,Chinese Name,血剑王朝 2 - 永恒的战士 (日版)
asurabusj,Long Name,Asura Buster - Eternal Warriors (Japan, set 1)
asurabusja,Long Name,Asura Buster - Eternal Warriors (Japan, set 2)
asurabusjr,Long Name,Asura Buster - Eternal Warriors (Japan) (ARCADIA review build)
ataqandr,Long Name,Ataque Androide - Moon Cresta (FAR S.A. Spanish bootleg)
atehate,Chinese Name,问答 巴格达神灯 
atetris,Chinese Name,俄罗斯方块 (第 1 套)
atetrisa,Chinese Name,俄罗斯方块 (第 2 套)
atetrisb,Chinese Name,俄罗斯方块 (盗版 第 1 套)
atetrisb2,Chinese Name,俄罗斯方块 (盗版 第 2 套)
atetrisc,Chinese Name,俄罗斯方块 (平躺机台 第 1 套)
atetrisc2,Chinese Name,俄罗斯方块 (平躺机台 第 2 套)
athena,Chinese Name,雅典娜 
athenab,Chinese Name,雅典娜 (盗版)
atlantis,Chinese Name,亚特兰提斯大作战 (第 1 套)
atlantis2,Chinese Name,亚特兰提斯大作战 (第 2 套)
atlantisb,Chinese Name,亚特兰提斯大作战 (盗版)
atlantol,Chinese Name,科乐美运动会 - 雅典奥运 (意大利版 盗版)
atombjt,Chinese Name,原子人 (盗版自 Bombjack 双打)
atomboy,Chinese Name,原子男孩 (修正版 B)
atomboya,Chinese Name,原子男孩 (修正版 A)
atomicp,Chinese Name,俄罗斯方块解谜 Philko (韩版)
atompunk,Chinese Name,炸弹人 (美版)
attackf,Chinese Name,进击者 (Defender 盗版)
